month,node_name,item,value
2026-01,DAD_COLD_DC,initial_inventory,0.0
2026-01,DAD_COLD_DC,import_supply,120.0
2026-02,DAD_COLD_DC,import_supply,120.0
2026-03,DAD_COLD_DC,import_supply,140.0
2026-04,DAD_COLD_DC,import_supply,140.0
2026-05,DAD_COLD_DC,import_supply,160.0
2026-06,DAD_COLD_DC,import_supply,160.0
2026-07,DAD_COLD_DC,import_supply,120.0
2026-08,DAD_COLD_DC,import_supply,100.0
2026-09,DAD_COLD_DC,import_supply,80.0
2026-10,DAD_COLD_DC,import_supply,60.0
2026-11,DAD_COLD_DC,import_supply,40.0
2026-12,DAD_COLD_DC,import_supply,20.0
2027-01,DAD_COLD_DC,import_supply,0.0
2027-02,DAD_COLD_DC,import_supply,0.0
2027-03,DAD_COLD_DC,import_supply,0.0
2027-04,DAD_COLD_DC,import_supply,0.0
2027-05,DAD_COLD_DC,import_supply,0.0
2027-06,DAD_COLD_DC,import_supply,0.0
2027-07,DAD_COLD_DC,import_supply,0.0
2027-08,DAD_COLD_DC,import_supply,0.0
2027-09,DAD_COLD_DC,import_supply,0.0
2027-10,DAD_COLD_DC,import_supply,0.0
2027-11,DAD_COLD_DC,import_supply,0.0
2027-12,DAD_COLD_DC,import_supply,0.0
2026-01,MKT_HOSP,demand,40.0
2026-02,MKT_HOSP,demand,45.0
2026-03,MKT_HOSP,demand,55.0
2026-04,MKT_HOSP,demand,65.0
2026-05,MKT_HOSP,demand,75.0
2026-06,MKT_HOSP,demand,85.0
2026-07,MKT_HOSP,demand,80.0
2026-08,MKT_HOSP,demand,70.0
2026-09,MKT_HOSP,demand,60.0
2026-10,MKT_HOSP,demand,55.0
2026-11,MKT_HOSP,demand,50.0
2026-12,MKT_HOSP,demand,45.0
2027-01,MKT_HOSP,demand,35.0
2027-02,MKT_HOSP,demand,35.0
2027-03,MKT_HOSP,demand,35.0
2027-04,MKT_HOSP,demand,0.0
2027-05,MKT_HOSP,demand,0.0
2027-06,MKT_HOSP,demand,0.0
2027-07,MKT_HOSP,demand,0.0
2027-08,MKT_HOSP,demand,0.0
2027-09,MKT_HOSP,demand,0.0
2027-10,MKT_HOSP,demand,0.0
2027-11,MKT_HOSP,demand,0.0
2027-12,MKT_HOSP,demand,0.0
2026-01,MKT_HOSP,vaccination_capacity,0.0
2026-02,MKT_HOSP,vaccination_capacity,0.0
2026-03,MKT_HOSP,vaccination_capacity,60.0
2026-04,MKT_HOSP,vaccination_capacity,120.0
2026-05,MKT_HOSP,vaccination_capacity,120.0
2026-06,MKT_HOSP,vaccination_capacity,120.0
2026-07,MKT_HOSP,vaccination_capacity,120.0
2026-08,MKT_HOSP,vaccination_capacity,120.0
2026-09,MKT_HOSP,vaccination_capacity,120.0
2026-10,MKT_HOSP,vaccination_capacity,120.0
2026-11,MKT_HOSP,vaccination_capacity,120.0
2026-12,MKT_HOSP,vaccination_capacity,120.0
2027-01,MKT_HOSP,vaccination_capacity,120.0
2027-02,MKT_HOSP,vaccination_capacity,120.0
2027-03,MKT_HOSP,vaccination_capacity,120.0
2027-04,MKT_HOSP,vaccination_capacity,120.0
2027-05,MKT_HOSP,vaccination_capacity,120.0
2027-06,MKT_HOSP,vaccination_capacity,120.0
2027-07,MKT_HOSP,vaccination_capacity,120.0
2027-08,MKT_HOSP,vaccination_capacity,120.0
2027-09,MKT_HOSP,vaccination_capacity,120.0
2027-10,MKT_HOSP,vaccination_capacity,120.0
2027-11,MKT_HOSP,vaccination_capacity,120.0
2027-12,MKT_HOSP,vaccination_capacity,120.0
